Index,Date,ClockTime,RawTime,TraceSampID,BB1:INT,BB2:INT,BB3:INT,BB4:INT,BB5:INT,BB6:INT,BB7:INT,BB8:INT,BP1:LREAL,BP2:LREAL,BB13:INT
177,1970-01-01,11:47:49.88,42469879722755,,770,760,770,770,770,760,770,760,0,"4,891302",102
178,1970-01-01,11:47:49.98,42469979724185,,770,760,770,770,770,770,770,760,0,"4,891302",103
179,1970-01-01,11:47:50.08,42470079713520,,770,760,770,770,770,760,760,760,0,"4,891302",103
180,1970-01-01,11:47:50.18,42470179732410,,770,760,770,770,770,760,760,760,0,"4,891302",103
181,1970-01-01,11:47:50.28,42470279713140,,770,760,770,770,770,760,760,760,0,"4,891302",103
182,1970-01-01,11:47:50.38,42470379708480,,770,760,770,770,770,770,770,760,0,"4,891302",103
183,1970-01-01,11:47:50.48,42470479801315,,770,760,770,770,770,760,770,760,0,"4,891302",104
184,1970-01-01,11:47:50.58,42470579755520,,770,760,770,770,770,760,770,760,0,"4,891302",103
185,1970-01-01,11:47:50.68,42470679773330,,770,760,770,770,770,760,770,760,0,"4,891302",103
186,1970-01-01,11:47:50.78,42470779746440,,770,760,770,770,770,760,760,760,0,"4,891302",103
187,1970-01-01,11:47:50.88,42470879724330,,770,770,770,770,770,760,760,760,0,"4,891302",103
188,1970-01-01,11:47:50.98,42470979762800,,770,760,770,770,770,760,770,760,0,"4,891302",103
189,1970-01-01,11:47:51.08,42471079753845,,770,760,770,770,770,760,770,760,0,"4,891302",104
190,1970-01-01,11:47:51.18,42471179747900,,770,760,770,770,770,760,760,760,0,"4,891302",103
191,1970-01-01,11:47:51.28,42471279723340,,770,760,770,770,770,760,770,760,0,"4,891302",103
192,1970-01-01,11:47:51.38,42471379711450,,770,760,770,770,770,760,770,760,0,"4,891302",103
193,1970-01-01,11:47:51.48,42471479711960,,770,760,770,770,770,760,760,760,0,"4,891302",102
194,1970-01-01,11:47:51.58,42471579707665,,770,760,770,770,770,760,770,760,0,"4,891302",102
195,1970-01-01,11:47:51.68,42471679712125,,770,760,770,770,770,760,770,760,0,"4,891302",103
196,1970-01-01,11:47:51.78,42471779710860,,770,760,770,770,770,760,770,760,0,"4,891302",103
197,1970-01-01,11:47:51.88,42471879709025,,770,760,770,770,770,760,760,760,0,"4,891302",103
198,1970-01-01,11:47:51.98,42471979713120,,770,760,770,770,770,760,770,760,0,"4,891302",103
199,1970-01-01,11:47:52.08,42472079777160,,770,760,770,770,770,760,770,760,0,"4,891302",103
200,1970-01-01,11:47:52.18,42472179715340,,770,760,770,770,770,760,770,760,0,"4,891302",103
201,1970-01-01,11:47:52.28,42472279764290,,770,760,770,770,770,760,770,760,0,"4,891302",103
202,1970-01-01,11:47:52.38,42472379760610,,770,760,770,770,770,760,770,760,0,"4,891302",103
203,1970-01-01,11:47:52.48,42472479779495,,770,760,770,770,770,760,770,760,0,"4,891302",103
204,1970-01-01,11:47:52.58,42472579720545,,770,760,770,770,770,760,770,760,0,"4,891302",103
205,1970-01-01,11:47:52.68,42472679767600,,770,760,770,770,770,760,770,760,0,"4,891302",102
206,1970-01-01,11:47:52.78,42472779716575,,770,760,770,770,770,760,770,760,0,"4,891302",103
207,1970-01-01,11:47:52.88,42472879769270,,770,760,770,770,770,760,770,760,0,"4,891302",103
208,1970-01-01,11:47:52.98,42472979709680,,770,760,770,770,770,760,770,760,0,"4,891302",103
209,1970-01-01,11:47:53.08,42473079732120,,770,760,770,770,770,760,770,760,0,"4,891302",104
210,1970-01-01,11:47:53.18,42473179717830,,770,760,770,770,770,760,770,760,0,"4,891302",103
211,1970-01-01,11:47:53.28,42473279772610,,770,760,770,770,770,760,760,760,0,"4,891302",103
212,1970-01-01,11:47:53.38,42473379711020,,770,760,770,770,770,760,770,760,0,"4,891302",103
213,1970-01-01,11:47:53.48,42473479781755,,770,760,770,770,770,760,770,760,0,"4,891302",103
214,1970-01-01,11:47:53.58,42473579717785,,770,760,770,770,770,760,770,760,0,"4,891302",103
215,1970-01-01,11:47:53.68,42473679766745,,770,760,770,770,770,760,770,760,"0,815217","4,891302",103
216,1970-01-01,11:47:53.78,42473779764195,,770,760,770,770,770,760,770,760,0,"4,891302",103
217,1970-01-01,11:47:53.88,42473879724185,,770,760,770,770,770,760,770,760,0,"4,891302",103
218,1970-01-01,11:47:53.98,42473979771410,,770,760,770,770,770,760,770,760,0,"4,891302",103
219,1970-01-01,11:47:54.08,42474079760755,,770,760,770,770,770,760,770,760,0,"4,891302",103
220,1970-01-01,11:47:54.18,42474179718960,,770,760,770,770,770,760,770,760,0,"4,891302",103
221,1970-01-01,11:47:54.28,42474279765450,,770,760,770,770,770,760,770,760,0,"4,891302",103
222,1970-01-01,11:47:54.38,42474379778875,,770,760,770,770,770,760,770,760,0,"4,891302",103
223,1970-01-01,11:47:54.48,42474479713130,,770,760,770,770,770,760,760,760,0,"4,891302",103
224,1970-01-01,11:47:54.58,42474579792775,,770,760,770,770,770,760,770,760,0,"4,891302",103
225,1970-01-01,11:47:54.68,42474679711320,,770,760,770,770,770,760,770,760,0,"4,891302",104
226,1970-01-01,11:47:54.78,42474779716530,,770,760,770,770,770,760,760,760,0,"4,891302",103
227,1970-01-01,11:47:54.88,42474879718755,,770,760,770,770,770,760,770,760,0,"4,891302",103
228,1970-01-01,11:47:54.98,42474979725485,,770,760,770,770,770,770,770,760,0,"4,891302",103
229,1970-01-01,11:47:55.08,42475079784220,,770,760,770,770,770,760,770,760,0,"4,891302",103
230,1970-01-01,11:47:55.18,42475179735510,,770,760,770,770,770,760,770,760,0,"4,891302",103
231,1970-01-01,11:47:55.28,42475279767060,,770,760,770,770,770,760,770,760,0,"4,891302",103
232,1970-01-01,11:47:55.38,42475379754275,,770,760,770,770,770,770,770,760,0,"4,891302",104
